x_i	f(x_i)	derivative(x_i)
x=-0.790000	f(x)=0.495398	f'(x)=-0.999886
x=-0.780000	f(x)=0.505398	f'(x)=-0.999877
x=-0.770000	f(x)=0.515396	f'(x)=-0.999460
x=-0.760000	f(x)=0.525387	f'(x)=-0.998640
x=-0.750000	f(x)=0.535369	f'(x)=-0.997427
x=-0.740000	f(x)=0.545336	f'(x)=-0.995818
x=-0.730000	f(x)=0.555285	f'(x)=-0.993800
x=-0.720000	f(x)=0.565212	f'(x)=-0.991392
x=-0.710000	f(x)=0.575113	f'(x)=-0.988588
x=-0.700000	f(x)=0.584984	f'(x)=-0.985384
x=-0.690000	f(x)=0.594820	f'(x)=-0.981784
x=-0.680000	f(x)=0.604619	f'(x)=-0.977796
x=-0.670000	f(x)=0.614376	f'(x)=-0.973421
x=-0.660000	f(x)=0.624088	f'(x)=-0.968647
x=-0.650000	f(x)=0.633749	f'(x)=-0.963491
x=-0.640000	f(x)=0.643358	f'(x)=-0.957951
x=-0.630000	f(x)=0.652908	f'(x)=-0.952026
x=-0.620000	f(x)=0.662398	f'(x)=-0.945723
x=-0.610000	f(x)=0.671823	f'(x)=-0.939035
x=-0.600000	f(x)=0.681179	f'(x)=-0.931978
x=-0.590000	f(x)=0.690462	f'(x)=-0.924549
x=-0.580000	f(x)=0.699670	f'(x)=-0.916740
x=-0.570000	f(x)=0.708797	f'(x)=-0.908569
x=-0.560000	f(x)=0.717841	f'(x)=-0.900039
x=-0.550000	f(x)=0.726798	f'(x)=-0.891149
x=-0.540000	f(x)=0.735664	f'(x)=-0.881901
x=-0.530000	f(x)=0.744436	f'(x)=-0.872299
x=-0.520000	f(x)=0.753110	f'(x)=-0.862345
x=-0.510000	f(x)=0.761683	f'(x)=-0.852048
x=-0.500000	f(x)=0.770151	f'(x)=-0.841415
x=-0.490000	f(x)=0.778511	f'(x)=-0.830442
x=-0.480000	f(x)=0.786760	f'(x)=-0.819138
x=-0.470000	f(x)=0.794894	f'(x)=-0.807503
x=-0.460000	f(x)=0.802910	f'(x)=-0.795549
x=-0.450000	f(x)=0.810805	f'(x)=-0.783277
x=-0.440000	f(x)=0.818576	f'(x)=-0.770688
x=-0.430000	f(x)=0.826219	f'(x)=-0.757790
x=-0.420000	f(x)=0.833731	f'(x)=-0.744590
x=-0.410000	f(x)=0.841111	f'(x)=-0.731099
x=-0.400000	f(x)=0.848353	f'(x)=-0.717309
x=-0.390000	f(x)=0.855457	f'(x)=-0.703233
x=-0.380000	f(x)=0.862418	f'(x)=-0.688875
x=-0.370000	f(x)=0.869234	f'(x)=-0.674242
x=-0.360000	f(x)=0.875903	f'(x)=-0.659341
x=-0.350000	f(x)=0.882421	f'(x)=-0.644177
x=-0.340000	f(x)=0.888786	f'(x)=-0.628754
x=-0.330000	f(x)=0.894996	f'(x)=-0.613078
x=-0.320000	f(x)=0.901048	f'(x)=-0.597152
x=-0.310000	f(x)=0.906939	f'(x)=-0.580996
x=-0.300000	f(x)=0.912668	f'(x)=-0.564608
x=-0.290000	f(x)=0.918231	f'(x)=-0.547987
x=-0.280000	f(x)=0.923628	f'(x)=-0.531146
x=-0.270000	f(x)=0.928854	f'(x)=-0.514096
x=-0.260000	f(x)=0.933910	f'(x)=-0.496843
x=-0.250000	f(x)=0.938791	f'(x)=-0.479397
x=-0.240000	f(x)=0.943497	f'(x)=-0.461745
x=-0.230000	f(x)=0.948026	f'(x)=-0.443915
x=-0.220000	f(x)=0.952376	f'(x)=-0.425914
x=-0.210000	f(x)=0.956544	f'(x)=-0.407737
x=-0.200000	f(x)=0.960531	f'(x)=-0.389391
x=-0.190000	f(x)=0.964332	f'(x)=-0.370893
x=-0.180000	f(x)=0.967948	f'(x)=-0.352255
x=-0.170000	f(x)=0.971377	f'(x)=-0.333464
x=-0.160000	f(x)=0.974618	f'(x)=-0.314543
x=-0.150000	f(x)=0.977668	f'(x)=-0.295505
x=-0.140000	f(x)=0.980528	f'(x)=-0.276339
x=-0.130000	f(x)=0.983195	f'(x)=-0.257063
x=-0.120000	f(x)=0.985669	f'(x)=-0.237685
x=-0.110000	f(x)=0.987949	f'(x)=-0.218216
x=-0.100000	f(x)=0.990033	f'(x)=-0.198656
x=-0.090000	f(x)=0.991922	f'(x)=-0.179020
x=-0.080000	f(x)=0.993614	f'(x)=-0.159311
x=-0.070000	f(x)=0.995108	f'(x)=-0.139529
x=-0.060000	f(x)=0.996404	f'(x)=-0.119701
x=-0.050000	f(
